ticker,exchange,sector,enabled,notes,source,theme,reason,priority,datetime,price,ema20,dist_ema20_pct,day_pct,volume_so_far,session_high,session_low,setup_status,cross_up_recent,daily_close,daily_ema20,daily_dist_ema20_pct,atr14,daily_volume,tradingview_url
ARM,NASDAQ,Semiconductors,1.0,,HOT_SECTOR,AI Chips,AI compute architecture momentum,HIGH,2026-09-25 14:55:00-04:00,312.73,314.55532341660364,-0.5802869259300736,-0.46468697285081406,34502.0,325.48,310.75,BELOW_EMA20,False,312.45001220703125,280.9569713270731,11.20920428890011,19.44486345563616,5571190.0,https://www.tradingview.com/chart/?symbol=NASDAQ:ARM
MU,NASDAQ,Semiconductors,1.0,,HOT_SECTOR,Memory AI,AI memory and HBM theme,HIGH,2026-09-25 14:55:00-04:00,1083.25,1082.6343150873165,0.05686914816049882,-0.800373629795148,293807.0,1108.72,1073.0,NEAR_RETEST,True,1085.1700439453125,1009.6861789493435,7.475972888379623,44.57071794782366,15924819.0,https://www.tradingview.com/chart/?symbol=NASDAQ:MU
AVGO,NASDAQ,Semiconductors,1.0,,HOT_SECTOR,AI Infrastructure,AI networking and custom silicon,HIGH,2026-09-25 14:55:00-04:00,352.17,352.76094463897795,-0.16751985954190918,-0.7608419984783121,192063.0,356.2,349.43,BELOW_EMA20,True,352.239990234375,358.5093663442875,-1.7487342587004684,10.15214102608817,10700950.0,https://www.tradingview.com/chart/?symbol=NASDAQ:AVGO
SMCI,NASDAQ,Technology,1.0,,HOT_SECTOR,AI Infrastructure,AI server infrastructure,MEDIUM,2026-09-25 14:55:00-04:00,43.19,43.23606997879526,-0.10655450141017209,2.589073634204264,362943.0,43.76,41.64,BELOW_EMA20,False,43.02199935913086,39.6394210351833,8.53336964973641,2.3242781502859935,42591926.0,https://www.tradingview.com/chart/?symbol=NASDAQ:SMCI
AESI,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,12.62,12.617075512935045,0.02317880290052532,1.8563357546408366,76739.0,13.34,11.6,NEAR_RETEST,True,12.602299690246582,12.81261454821227,-1.6414671429808458,0.9160715511866978,9088314.0,https://www.tradingview.com/chart/?symbol=NONE:AESI
AKAM,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,116.01,116.45319086621708,-0.38057425727924254,-12.970742685671421,194260.0,137.54,115.1,BELOW_EMA20,False,115.51499938964844,111.3487163930305,3.7416533675270314,6.975716182163784,27533249.0,https://www.tradingview.com/chart/?symbol=NONE:AKAM
PPLI,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,40.14,40.00478097952608,0.3380071510530769,4.341044970106589,15321.0,41.63,38.27,ABOVE_EMA20,False,40.03499984741211,37.83242566193918,5.821921663587104,1.3871427263532365,2113169.0,https://www.tradingview.com/chart/?symbol=NONE:PPLI
GENI,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,6.33,6.323125088804441,0.10872647779389677,6.92567567567568,86916.0,6.57,5.84,NEAR_RETEST,True,6.309999942779541,6.663045919930531,-5.298567372843066,0.44348577090672087,9843514.0,https://www.tradingview.com/chart/?symbol=NONE:GENI
KORU,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,21.71,21.59909399625073,0.5134752585850277,3.3809523809523956,346367.0,21.73,20.62,ABOVE_EMA20,False,21.700000762939453,21.118689580545578,2.7525911594883157,2.195000103541783,14628452.0,https://www.tradingview.com/chart/?symbol=NONE:KORU
FSLY,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,25.17,25.10877541109165,0.24383741503102296,-7.970749542961608,64060.0,28.28,24.75,WAIT_PULLBACK,True,25.06999969482422,25.059800892499005,0.04069785857023778,3.014385768345424,7635600.0,https://www.tradingview.com/chart/?symbol=NONE:FSLY
SNPS,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,426.45,428.3756605150129,-0.44952612683404336,0.19971804511278446,25704.0,445.86,424.21,BELOW_EMA20,True,426.05999755859375,405.10969680747326,5.17151302874812,13.570000784737724,1456334.0,https://www.tradingview.com/chart/?symbol=NONE:SNPS
FRVO,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,15.25,15.344407612733612,-0.6152574613259576,-10.399529964747355,61364.0,17.91,15.1,BELOW_EMA20,False,15.218000411987305,16.571945181064493,-8.170101664494023,1.325714383806501,7415666.0,https://www.tradingview.com/chart/?symbol=NONE:FRVO
PGEN,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,7.745,7.714902961613562,0.39011557936878827,-0.19329896907216426,44404.0,8.27,7.63,WAIT_PULLBACK,True,7.769999980926514,7.322255413745492,6.114844974411926,0.4082143306732178,5009057.0,https://www.tradingview.com/chart/?symbol=NONE:PGEN
MFG,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,11.055,11.044940367925596,0.09107909811461035,1.7955801104972302,29188.0,11.07,10.81,NEAR_RETEST,True,11.045000076293945,10.919961223465656,1.1450485058463133,0.265714304787772,3395027.0,https://www.tradingview.com/chart/?symbol=NONE:MFG
MUFG,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,23.53,23.508815090452245,0.09011474830289412,0.7708779443254876,14148.0,23.57,23.03,NEAR_RETEST,True,23.524999618530273,23.18847741419909,1.4512475240186173,0.5084283011300224,1917384.0,https://www.tradingview.com/chart/?symbol=NONE:MUFG
SNXX,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,17.49,17.527918929770635,-0.2163344657318822,-1.3536379018612599,374495.0,18.27,16.85,BELOW_EMA20,False,17.594999313354492,16.29246125279301,7.994728607000301,1.9262144906180245,39185385.0,https://www.tradingview.com/chart/?symbol=NONE:SNXX
